"Timestamp","DOI","IP identifier","User identifier","Country according to GeoIP","City according to GeoIP","Latitude","Longitude"
"2017-05-18 05:57:10","10.1002/dap.30253",5998437,11301142,"Canada","Toronto","43.653226","-79.3831843"
"2017-01-12 00:58:21","10.1073/pnas.0903485106",27449,39817,"Canada","Toronto","43.653226","-79.3831843"
"2017-06-06 19:00:26","10.1093/beheco/arx008",6476470,13891861,"Canada","Squamish","49.7016339","-123.1558121"
"2017-05-26 23:47:25","10.1126/science.aaa9092",7502518,12368741,"Canada","Saguenay","48.4280529","-71.0684923"
"2017-08-08 03:51:42","10.1037/0003-066X.60.6.581",11041595,27848804,"Canada","St. Albert","53.6304753","-113.625642"
"2017-06-19 23:33:28","10.1002/14651858.CD003392.pub2",7809386,15875234,"Canada","Boucherville","45.5913698","-73.4364097"
"2017-01-23 23:26:36","10.2979/vic.2010.52.4.651",10,2014855,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-03 03:12:13","10.1149/1.2069301",5993951,9247068,"Canada","Toronto","43.653226","-79.3831843"
"2017-09-18 10:32:41","10.1016/S0014-2999(96)00714-5",12957904,35160346,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-03 14:21:58","10.1149/1.2069301",6040472,9318663,"Canada","Toronto","43.653226","-79.3831843"
"2017-09-12 01:41:03","10.1002/pen.24509",5999878,34184567,"Canada","Toronto","43.653226","-79.3831843"
"2017-03-24 01:24:20","10.1016/0026-0495(88)90167-9",27449,39852,"Canada","Toronto","43.653226","-79.3831843"
"2017-06-19 19:59:57","10.1126/science.aaa9092",8628703,15846779,"Canada","Saguenay","48.4280529","-71.0684923"
"2017-07-24 11:40:59","10.1525/rep.2009.108.1.1",9564018,424236,"Canada","Toronto","43.653226","-79.3831843"
"2017-09-07 15:25:24","10.1021/j100552a012",941416,33511842,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-04 00:38:28","10.1149/1.2430313",5995039,9381937,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-02 09:59:27","10.1021/la501330j",6040472,9158799,"Canada","Toronto","43.653226","-79.3831843"
"2017-05-04 00:09:03","10.1149/1.2430313",1953136,9380081,"Canada","Ajax","43.8508553","-79.0203732"
"2017-04-30 17:52:39","10.1023/A:1026324703410",27449,39852,"Canada","Toronto","43.653226","-79.3831843"
"2017-03-15 17:35:42","10.1056/NEJMoa1600869",27449,39817,"Canada","Toronto","43.653226","-79.3831843"
"2017-07-09 06:25:42","10.1126/science.6879179",645245,19872892,"Canada","Toronto","43.653226","-79.3831843"
"2017-02-28 05:07:05","10.1002/14651858.CD003392.pub2",317,349,"Canada","Boucherville","45.5913698","-73.4364097"
"2017-05-02 23:46:33","10.1149/1.2085905",2623124,9235988,"Canada","Toronto","43.653226","-79.3831843"
